"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"01.01.2020 00:00 - 01.01.2020 01:00","-255","-1","Estimated","73","","Surplus","Final"
"01.01.2020 01:00 - 01.01.2020 02:00","-600","-1","Estimated","171","","Surplus","Final"
"01.01.2020 02:00 - 01.01.2020 03:00","-515","-1","Estimated","147","","Surplus","Final"
"01.01.2020 03:00 - 01.01.2020 04:00","-227","-1","Estimated","65","","Surplus","Final"
"01.01.2020 04:00 - 01.01.2020 05:00","2604","2350","Estimated","46","","Deficit","Final"
"01.01.2020 05:00 - 01.01.2020 06:00","2401","2350","Estimated","9","","Deficit","Final"
"01.01.2020 06:00 - 01.01.2020 07:00","-386","-1","Estimated","110","","Surplus","Final"
"01.01.2020 07:00 - 01.01.2020 08:00","-225","-1","Estimated","64","","Surplus","Final"
"01.01.2020 08:00 - 01.01.2020 09:00","-454","-1","Estimated","130","","Surplus","Final"
"01.01.2020 09:00 - 01.01.2020 10:00","-999","-251","Estimated","278","","Surplus","Final"
"01.01.2020 10:00 - 01.01.2020 11:00","-999","-156","Estimated","113","","Surplus","Final"
"01.01.2020 11:00 - 01.01.2020 12:00","-207","-1","Estimated","59","","Surplus","Final"
"01.01.2020 12:00 - 01.01.2020 13:00","-760","-1","Estimated","217","","Surplus","Final"
"01.01.2020 13:00 - 01.01.2020 14:00","-972","-1","Estimated","277","","Surplus","Final"
"01.01.2020 14:00 - 01.01.2020 15:00","-729","-1","Estimated","208","","Surplus","Final"
"01.01.2020 15:00 - 01.01.2020 16:00","2604","2350","Estimated","46","","Deficit","Final"
"01.01.2020 16:00 - 01.01.2020 17:00","2532","2350","Estimated","33","","Deficit","Final"
"01.01.2020 17:00 - 01.01.2020 18:00","-280","-1","Estimated","80","","Surplus","Final"
"01.01.2020 18:00 - 01.01.2020 19:00","2757","2350","Estimated","74","","Deficit","Final"
"01.01.2020 19:00 - 01.01.2020 20:00","2896","2350","Estimated","99","","Deficit","Final"
"01.01.2020 20:00 - 01.01.2020 21:00","-464","-1","Estimated","132","","Surplus","Final"
"01.01.2020 21:00 - 01.01.2020 22:00","-452","-1","Estimated","129","","Surplus","Final"
"01.01.2020 22:00 - 01.01.2020 23:00","-504","-1","Estimated","144","","Surplus","Final"
"01.01.2020 23:00 - 02.01.2020 00:00","-1250","-480","Estimated","58","","Surplus","Final"
"02.01.2020 00:00 - 02.01.2020 01:00","-95","-1","Estimated","27","","Surplus","Final"
"02.01.2020 01:00 - 02.01.2020 02:00","-137","-1","Estimated","39","","Surplus","Final"
"02.01.2020 02:00 - 02.01.2020 03:00","-191","-1","Estimated","54","","Surplus","Final"
"02.01.2020 03:00 - 02.01.2020 04:00","-247","-1","Estimated","70","","Surplus","Final"
"02.01.2020 04:00 - 02.01.2020 05:00","-618","-1","Estimated","176","","Surplus","Final"
"02.01.2020 05:00 - 02.01.2020 06:00","-1189","-126","Estimated","340","","Surplus","Final"
"02.01.2020 06:00 - 02.01.2020 07:00","-1250","-340","Estimated","256","","Surplus","Final"
"02.01.2020 07:00 - 02.01.2020 08:00","-1250","-506","Estimated","144","","Surplus","Final"
"02.01.2020 08:00 - 02.01.2020 09:00","-336","-1","Estimated","96","","Surplus","Final"
"02.01.2020 09:00 - 02.01.2020 10:00","-230","-1","Estimated","65","","Surplus","Final"
"02.01.2020 10:00 - 02.01.2020 11:00","-12","-1","Estimated","3","","Surplus","Final"
"02.01.2020 11:00 - 02.01.2020 12:00","2463","2350","Estimated","21","","Deficit","Final"
"02.01.2020 12:00 - 02.01.2020 13:00","-474","-1","Estimated","135","","Surplus","Final"
"02.01.2020 13:00 - 02.01.2020 14:00","-663","-1","Estimated","189","","Surplus","Final"
"02.01.2020 14:00 - 02.01.2020 15:00","-161","-1","Estimated","46","","Surplus","Final"
"02.01.2020 15:00 - 02.01.2020 16:00","-187","-1","Estimated","53","","Surplus","Final"
"02.01.2020 16:00 - 02.01.2020 17:00","-295","-1","Estimated","84","","Surplus","Final"
"02.01.2020 17:00 - 02.01.2020 18:00","-214","-1","Estimated","61","","Surplus","Final"
"02.01.2020 18:00 - 02.01.2020 19:00","-139","-1","Estimated","40","","Surplus","Final"
"02.01.2020 19:00 - 02.01.2020 20:00","-109","-1","Estimated","31","","Surplus","Final"
"02.01.2020 20:00 - 02.01.2020 21:00","2355","2350","Estimated","1","","Deficit","Final"
"02.01.2020 21:00 - 02.01.2020 22:00","2455","2350","Estimated","19","","Deficit","Final"
"02.01.2020 22:00 - 02.01.2020 23:00","-122","-1","Estimated","35","","Surplus","Final"
"02.01.2020 23:00 - 03.01.2020 00:00","2538","2350","Estimated","34","","Deficit","Final"
"03.01.2020 00:00 - 03.01.2020 01:00","2881","2350","Estimated","97","","Deficit","Final"
"03.01.2020 01:00 - 03.01.2020 02:00","-144","-1","Estimated","41","","Surplus","Final"
"03.01.2020 02:00 - 03.01.2020 03:00","-405","-1","Estimated","115","","Surplus","Final"
"03.01.2020 03:00 - 03.01.2020 04:00","-16","-1","Estimated","4","","Surplus","Final"
"03.01.2020 04:00 - 03.01.2020 05:00","-73","-1","Estimated","21","","Surplus","Final"
"03.01.2020 05:00 - 03.01.2020 06:00","-1028","-168","Estimated","293","","Surplus","Final"
"03.01.2020 06:00 - 03.01.2020 07:00","-999","-62","Estimated","209","","Surplus","Final"
"03.01.2020 07:00 - 03.01.2020 08:00","-178","-1","Estimated","51","","Surplus","Final"
"03.01.2020 08:00 - 03.01.2020 09:00","2554","2350","Estimated","37","","Deficit","Final"
"03.01.2020 09:00 - 03.01.2020 10:00","3041","2350","Estimated","126","","Deficit","Final"
"03.01.2020 10:00 - 03.01.2020 11:00","3160","2350","Estimated","147","","Deficit","Final"
"03.01.2020 11:00 - 03.01.2020 12:00","2446","2350","Estimated","17","","Deficit","Final"
"03.01.2020 12:00 - 03.01.2020 13:00","-22","-1","Estimated","6","","Surplus","Final"
"03.01.2020 13:00 - 03.01.2020 14:00","2439","2350","Estimated","16","","Deficit","Final"
"03.01.2020 14:00 - 03.01.2020 15:00","2448","2350","Estimated","18","","Deficit","Final"
"03.01.2020 15:00 - 03.01.2020 16:00","2398","2350","Estimated","9","","Deficit","Final"
"03.01.2020 16:00 - 03.01.2020 17:00","-234","-1","Estimated","67","","Surplus","Final"
"03.01.2020 17:00 - 03.01.2020 18:00","-62","-1","Estimated","18","","Surplus","Final"
"03.01.2020 18:00 - 03.01.2020 19:00","-1","-1","Estimated","0","","Balanced","Final"
"03.01.2020 19:00 - 03.01.2020 20:00","2413","2350","Estimated","11","","Deficit","Final"
"03.01.2020 20:00 - 03.01.2020 21:00","-84","-1","Estimated","24","","Surplus","Final"
"03.01.2020 21:00 - 03.01.2020 22:00","2593","2350","Estimated","44","","Deficit","Final"
"03.01.2020 22:00 - 03.01.2020 23:00","-89","-1","Estimated","25","","Surplus","Final"
"03.01.2020 23:00 - 04.01.2020 00:00","-252","-1","Estimated","72","","Surplus","Final"
"04.01.2020 00:00 - 04.01.2020 01:00","-200","-1","Estimated","57","","Surplus","Final"
"04.01.2020 01:00 - 04.01.2020 02:00","2521","2350","Estimated","31","","Deficit","Final"
"04.01.2020 02:00 - 04.01.2020 03:00","2458","2350","Estimated","20","","Deficit","Final"
"04.01.2020 03:00 - 04.01.2020 04:00","-46","-1","Estimated","13","","Surplus","Final"
"04.01.2020 04:00 - 04.01.2020 05:00","-288","-1","Estimated","82","","Surplus","Final"
"04.01.2020 05:00 - 04.01.2020 06:00","-357","-1","Estimated","102","","Surplus","Final"
"04.01.2020 06:00 - 04.01.2020 07:00","-92","-1","Estimated","26","","Surplus","Final"
"04.01.2020 07:00 - 04.01.2020 08:00","2505","2350","Estimated","28","","Deficit","Final"
"04.01.2020 08:00 - 04.01.2020 09:00","-140","-1","Estimated","40","","Surplus","Final"
"04.01.2020 09:00 - 04.01.2020 10:00","-66","-1","Estimated","19","","Surplus","Final"
"04.01.2020 10:00 - 04.01.2020 11:00","2626","2350","Estimated","50","","Deficit","Final"
"04.01.2020 11:00 - 04.01.2020 12:00","2499","2350","Estimated","27","","Deficit","Final"
"04.01.2020 12:00 - 04.01.2020 13:00","2514","2350","Estimated","30","","Deficit","Final"
"04.01.2020 13:00 - 04.01.2020 14:00","2540","2350","Estimated","35","","Deficit","Final"
"04.01.2020 14:00 - 04.01.2020 15:00","2671","2350","Estimated","58","","Deficit","Final"
"04.01.2020 15:00 - 04.01.2020 16:00","2620","2350","Estimated","49","","Deficit","Final"
"04.01.2020 16:00 - 04.01.2020 17:00","-13","-1","Estimated","3","","Surplus","Final"
"04.01.2020 17:00 - 04.01.2020 18:00","2437","2350","Estimated","16","","Deficit","Final"
"04.01.2020 18:00 - 04.01.2020 19:00","2629","2350","Estimated","51","","Deficit","Final"
"04.01.2020 19:00 - 04.01.2020 20:00","2650","2350","Estimated","55","","Deficit","Final"
"04.01.2020 20:00 - 04.01.2020 21:00","2374","2350","Estimated","4","","Deficit","Final"
"04.01.2020 21:00 - 04.01.2020 22:00","2647","2350","Estimated","54","","Deficit","Final"
